s0	: L(r1,r2)
s1	: R(X,i~off,l)
s2	: S(DD,PH,SH2)
s3	: J(K,Y1~U,Y2~U)
s4	: I()
s5	: L(r1!1,r2).R(X,i~off,l!1)
s6	: S(DD!1,PH,SH2).S(DD!1,PH,SH2)
s7	: J(K!1,Y1~U,Y2~U).R(X!1,i~off,l)
s8	: R(X,i~on,l)
s9	: J(K!1,Y1~U,Y2~U).L(r1!2,r2).R(X!1,i~off,l!2)
s10	: L(r1!1,r2!2).R(X,i~off,l!2).R(X,i~off,l!1)
s11	: J(K!1,Y1~U,Y2~U).L(r1!2,r2!3).R(X!1,i~off,l!3).R(X,i~off,l!2)
s12	: L(r1!1,r2).R(X,i~on,l!1)
s13	: J(K!1,Y1~U,Y2~U).R(X!1,i~on,l)
s14	: J(K!1,Y1~U,Y2~U).L(r1!2,r2!3).R(X!1,i~off,l!2).R(X,i~off,l!3)
s15	: J(K!1,Y1~U,Y2~U).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s16	: L(r1,r2!1).R(X,i~off,l!1)
s17	: J(K!1,Y1~U,Y2~U).L(r1,r2!2).R(X!1,i~off,l!2)
s18	: J(K!1,Y1~U,Y2~U).L(r1!2,r2).R(X!1,i~on,l!2)
s19	: L(r1!1,r2!2).R(X,i~on,l!2).R(X,i~on,l!1)
s20	: J(K!1,Y1~U,Y2~U).L(r1!2,r2!3).R(X!1,i~on,l!3).R(X,i~on,l!2)
s21	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s22	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!2,i~off,l!4).R(X!1,i~off,l!3)
s23	: J(K!1,Y1~U,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s24	: J(K!1,Y1~U,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!2,i~off,l!4).R(X!1,i~off,l!3)
s25	: L(r1,r2!1).R(X,i~on,l!1)
s26	: J(K!1,Y1~U,Y2~U).L(r1,r2!2).R(X!1,i~on,l!2)
s27	: J(K!1,Y1~U,Y2~U).L(r1!2,r2!3).R(X!1,i~on,l!2).R(X,i~on,l!3)
s28	: J(K!1,Y1~U,Y2~U).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~on,l!4).R(X!2,i~on,l!3)
s29	: J(K!1,Y1~P,Y2~U).R(X!1,i~off,l)
s30	: J(K!1,Y1~P,Y2~U).L(r1!2,r2).R(X!1,i~off,l!2)
s31	: J(K!1,Y1~U,Y2~P).R(X!1,i~off,l)
s32	: J(K!1,Y1~U,Y2~P).L(r1!2,r2).R(X!1,i~off,l!2)
s33	: J(K!1,Y1~P,Y2~U).L(r1,r2!2).R(X!1,i~off,l!2)
s34	: J(K!1,Y1~U,Y2~P).L(r1,r2!2).R(X!1,i~off,l!2)
s35	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD,PH,SH2!2)
s36	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD,PH,SH2!2)
s37	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
s38	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~U).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
s39	: J(K,Y1~P,Y2~U)
s40	: J(K!1,Y1~P,Y2~U).L(r1!2,r2!3).R(X!1,i~off,l!3).R(X,i~off,l!2)
s41	: J(K!1,Y1~P,Y2~U).L(r1!2,r2!3).R(X!1,i~off,l!2).R(X,i~off,l!3)
s42	: J(K,Y1~U,Y2~P)
s43	: J(K!1,Y1~U,Y2~P).L(r1!2,r2!3).R(X!1,i~off,l!3).R(X,i~off,l!2)
s44	: J(K!1,Y1~U,Y2~P).L(r1!2,r2!3).R(X!1,i~off,l!2).R(X,i~off,l!3)
s45	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~P,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s46	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s47	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!2,i~off,l!4).R(X!1,i~off,l!3)
s48	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!2,i~off,l!4).R(X!1,i~off,l!3)
s49	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s50	: J(K!1,Y1~U,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~on,l!4).R(X!2,i~on,l!3)
s51	: J(K!1,Y1~U,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!2,i~on,l!4).R(X!1,i~on,l!3)
s52	: J(K!1,Y1~U,Y2~P).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s53	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~on,l!4).R(X!2,i~on,l!3)
s54	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!2,i~on,l!4).R(X!1,i~on,l!3)
s55	: J(K!1,Y1~P!2,Y2~U).R(X!1,i~off,l).S(DD,PH,SH2!2)
s56	: J(K!1,Y1~P!2,Y2~U).L(r1!3,r2).R(X!1,i~off,l!3).S(DD,PH,SH2!2)
s57	: J(K!1,Y1~P!2,Y2~U).R(X!1,i~off,l).S(DD!3,PH,SH2!2).S(DD!3,PH,SH2)
s58	: J(K!1,Y1~P!2,Y2~U).L(r1!3,r2).R(X!1,i~off,l!3).S(DD!4,PH,SH2!2).S(DD!4,PH,SH2)
s59	: J(K!1,Y1~P,Y2~P).R(X!1,i~off,l)
s60	: J(K!1,Y1~P,Y2~P).L(r1!2,r2).R(X!1,i~off,l!2)
s61	: J(K!1,Y1~P!2,Y2~U).L(r1,r2!3).R(X!1,i~off,l!3).S(DD,PH,SH2!2)
s62	: J(K!1,Y1~P!2,Y2~U).L(r1,r2!3).R(X!1,i~off,l!3).S(DD!4,PH,SH2!2).S(DD!4,PH,SH2)
