Correspondence between the short and original species names from:
	/home/z/BioNetGen-2.5.2/e5.net

s0	: E(s)
s1	: F(s)
s2	: S(p1~U,p2~U,p3~U,p4~U,p5~U)
s3	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~U)
s4	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~U)
s5	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~U)
s6	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~U)
s7	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U!1)
s8	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~U,p4~U,p5~U)
s9	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U!2,p4~U,p5~U)
s10	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U,p4~U!2,p5~U)
s11	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U,p4~U,p5~U!2)
s12	: S(p1~P,p2~U,p3~U,p4~U,p5~U)
s13	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U!2,p4~U,p5~U)
s14	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U,p4~U!2,p5~U)
s15	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U,p4~U,p5~U!2)
s16	: S(p1~U,p2~P,p3~U,p4~U,p5~U)
s17	: E(s!1).E(s!2).S(p1~U,p2~U,p3~U!1,p4~U!2,p5~U)
s18	: E(s!1).E(s!2).S(p1~U,p2~U,p3~U!1,p4~U,p5~U!2)
s19	: S(p1~U,p2~U,p3~P,p4~U,p5~U)
s20	: E(s!1).E(s!2).S(p1~U,p2~U,p3~U,p4~U!1,p5~U!2)
s21	: S(p1~U,p2~U,p3~U,p4~P,p5~U)
s22	: S(p1~U,p2~U,p3~U,p4~U,p5~P)
s23	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U!3,p4~U,p5~U)
s24	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U,p4~U!3,p5~U)
s25	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U,p4~U,p5~U!3)
s26	: E(s!1).S(p1~U!1,p2~P,p3~U,p4~U,p5~U)
s27	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U,p3~U!2,p4~U!3,p5~U)
s28	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U,p3~U!2,p4~U,p5~U!3)
s29	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~U,p5~U)
s30	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U,p3~U,p4~U!2,p5~U!3)
s31	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~P,p5~U)
s32	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U,p5~P)
s33	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~U,p5~U)
s34	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~U,p5~U)
s35	: E(s!1).S(p1~P,p2~U,p3~U,p4~U!1,p5~U)
s36	: E(s!1).S(p1~P,p2~U,p3~U,p4~U,p5~U!1)
s37	: F(s!1).S(p1~P!1,p2~U,p3~U,p4~U,p5~U)
s38	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U!1,p3~U!2,p4~U!3,p5~U)
s39	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U!1,p3~U!2,p4~U,p5~U!3)
s40	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~U,p5~U)
s41	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U!1,p3~U,p4~U!2,p5~U!3)
s42	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~P,p5~U)
s43	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U,p5~P)
s44	: E(s!1).S(p1~U,p2~P,p3~U!1,p4~U,p5~U)
s45	: E(s!1).S(p1~U,p2~P,p3~U,p4~U!1,p5~U)
s46	: E(s!1).S(p1~U,p2~P,p3~U,p4~U,p5~U!1)
s47	: F(s!1).S(p1~U,p2~P!1,p3~U,p4~U,p5~U)
