s0	: Lig(l,l)
s1	: Lyn(SH2,U)
s2	: Syk(a~Y,l~Y,tSH2)
s3	: Rec(a,b~Y,g~Y)
s4	: Lig(l!1,l).Rec(a!1,b~Y,g~Y)
s5	: Lyn(SH2,U!1).Rec(a,b~Y!1,g~Y)
s6	: Lig(l!1,l).Lyn(SH2,U!2).Rec(a!1,b~Y!2,g~Y)
s7	: Lig(l!1,l!2).Rec(a!2,b~Y,g~Y).Rec(a!1,b~Y,g~Y)
s8	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y,g~Y)
s9	: Lig(l!1,l!2).Lyn(SH2,U!3).Lyn(SH2,U!4).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y!4,g~Y)
s10	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~pY,g~Y)
s11	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y,g~pY)
s12	: Lig(l!1,l).Rec(a!1,b~pY,g~Y)
s13	: Rec(a,b~pY,g~Y)
s14	: Lig(l!1,l).Rec(a!1,b~Y,g~pY)
s15	: Rec(a,b~Y,g~pY)
s16	: Lig(l!1,l!2).Lyn(SH2,U!3).Lyn(SH2,U!4).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y!4,g~pY)
s17	: Lig(l!1,l!2).Rec(a!2,b~Y,g~Y).Rec(a!1,b~pY,g~Y)
s18	: Lig(l!1,l!2).Rec(a!2,b~Y,g~Y).Rec(a!1,b~Y,g~pY)
s19	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~pY,g~pY)
s20	: Lig(l!1,l!2).Lyn(SH2!3,U).Lyn(SH2,U!4).Rec(a!2,b~Y!4,g~Y).Rec(a!1,b~pY!3,g~Y)
s21	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y,g~pY!4).Syk(a~Y,l~Y,tSH2!4)
s22	: Lig(l!1,l!2).Rec(a!2,b~pY,g~Y).Rec(a!1,b~pY,g~Y)
s23	: Lig(l!1,l!2).Rec(a!1,b~Y,g~pY).Rec(a!2,b~pY,g~Y)
s24	: Lig(l!1,l!2).Rec(a!2,b~Y,g~pY).Rec(a!1,b~Y,g~pY)
s25	: Lig(l!1,l).Lyn(SH2,U!2).Rec(a!1,b~Y!2,g~pY)
s26	: Lyn(SH2,U!1).Rec(a,b~Y!1,g~pY)
s27	: Lig(l!1,l).Rec(a!1,b~pY,g~pY)
s28	: Rec(a,b~pY,g~pY)
s29	: Lig(l!1,l).Lyn(SH2!2,U).Rec(a!1,b~pY!2,g~Y)
s30	: Lyn(SH2!1,U).Rec(a,b~pY!1,g~Y)
s31	: Lig(l!1,l).Rec(a!1,b~Y,g~pY!2).Syk(a~Y,l~Y,tSH2!2)
s32	: Rec(a,b~Y,g~pY!1).Syk(a~Y,l~Y,tSH2!1)
s33	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!1,b~Y!3,g~pY).Rec(a!2,b~Y,g~Y)
s34	: Lig(l!1,l!2).Lyn(SH2,U!3).Lyn(SH2,U!4).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y!4,g~pY!5).Syk(a~Y,l~Y,tSH2!5)
s35	: Lig(l!1,l!2).Rec(a!2,b~Y,g~Y).Rec(a!1,b~pY,g~pY)
s36	: Lig(l!1,l!2).Lyn(SH2!3,U).Rec(a!2,b~Y,g~Y).Rec(a!1,b~pY!3,g~Y)
s37	: Lig(l!1,l!2).Rec(a!2,b~Y,g~Y).Rec(a!1,b~Y,g~pY!3).Syk(a~Y,l~Y,tSH2!3)
s38	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~pY,g~pY!4).Syk(a~Y,l~Y,tSH2!4)
s39	: Lig(l!1,l!2).Lyn(SH2,U!3).Lyn(SH2,U!4).Rec(a!2,b~Y!3,g~pY).Rec(a!1,b~Y!4,g~pY)
s40	: Lig(l!1,l!2).Lyn(SH2!3,U).Lyn(SH2,U!4).Rec(a!2,b~Y!4,g~Y).Rec(a!1,b~pY!3,g~pY)
s41	: Lig(l!1,l!2).Lyn(SH2!3,U).Lyn(SH2,U!4).Rec(a!2,b~Y!4,g~pY).Rec(a!1,b~pY!3,g~Y)
s42	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y,g~pY!4).Syk(a~Y,l~pY,tSH2!4)
s43	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!1,b~Y!3,g~pY).Rec(a!2,b~pY,g~Y)
s44	: Lig(l!1,l!2).Rec(a!2,b~pY,g~Y).Rec(a!1,b~pY,g~pY)
s45	: Lig(l!1,l!2).Lyn(SH2!3,U).Rec(a!1,b~pY!3,g~Y).Rec(a!2,b~pY,g~Y)
s46	: Lig(l!1,l!2).Rec(a!1,b~Y,g~pY!3).Rec(a!2,b~pY,g~Y).Syk(a~Y,l~Y,tSH2!3)
s47	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!1,b~Y!3,g~pY).Rec(a!2,b~Y,g~pY)
s48	: Lig(l!1,l!2).Rec(a!2,b~Y,g~pY).Rec(a!1,b~pY,g~pY)
s49	: Lig(l!1,l!2).Lyn(SH2!3,U).Rec(a!2,b~Y,g~pY).Rec(a!1,b~pY!3,g~Y)
s50	: Lig(l!1,l!2).Rec(a!1,b~Y,g~pY!3).Rec(a!2,b~Y,g~pY).Syk(a~Y,l~Y,tSH2!3)
s51	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~pY).Rec(a!1,b~pY,g~pY)
s52	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!2,b~Y!3,g~pY).Rec(a!1,b~Y,g~pY!4).Syk(a~Y,l~Y,tSH2!4)
s53	: Lig(l!1,l!2).Rec(a!2,b~pY,g~pY).Rec(a!1,b~pY,g~pY)
s54	: Lig(l!1,l!2).Lyn(SH2!3,U).Rec(a!1,b~pY!3,g~Y).Rec(a!2,b~pY,g~pY)
s55	: Lig(l!1,l!2).Rec(a!1,b~Y,g~pY!3).Rec(a!2,b~pY,g~pY).Syk(a~Y,l~Y,tSH2!3)
s56	: Lig(l!1,l!2).Lyn(SH2!3,U).Lyn(SH2!4,U).Rec(a!2,b~pY!3,g~Y).Rec(a!1,b~pY!4,g~Y)
s57	: Lig(l!1,l!2).Lyn(SH2!3,U).Rec(a!1,b~Y,g~pY!4).Rec(a!2,b~pY!3,g~Y).Syk(a~Y,l~Y,tSH2!4)
s58	: Lig(l!1,l!2).Rec(a!2,b~Y,g~pY!3).Rec(a!1,b~Y,g~pY!4).Syk(a~Y,l~Y,tSH2!3).Syk(a~Y,l~Y,tSH2!4)
s59	: Lig(l!1,l).Lyn(SH2,U!2).Rec(a!1,b~Y!2,g~pY!3).Syk(a~Y,l~Y,tSH2!3)
s60	: Lyn(SH2,U!1).Rec(a,b~Y!1,g~pY!2).Syk(a~Y,l~Y,tSH2!2)
s61	: Lig(l!1,l).Rec(a!1,b~pY,g~pY!2).Syk(a~Y,l~Y,tSH2!2)
s62	: Rec(a,b~pY,g~pY!1).Syk(a~Y,l~Y,tSH2!1)
s63	: Lig(l!1,l).Lyn(SH2!2,U).Rec(a!1,b~pY!2,g~pY)
s64	: Lyn(SH2!1,U).Rec(a,b~pY!1,g~pY)
s65	: Lig(l!1,l).Rec(a!1,b~Y,g~pY!2).Syk(a~Y,l~pY,tSH2!2)
s66	: Rec(a,b~Y,g~pY!1).Syk(a~Y,l~pY,tSH2!1)
s67	: Lig(l!1,l!2).Lyn(SH2,U!3).Rec(a!1,b~Y!3,g~pY!4).Rec(a!2,b~Y,g~Y).Syk(a~Y,l~Y,tSH2!4)
s68	: Lig(l!1,l!2).Lyn(SH2,U!3).Lyn(SH2,U!4).Rec(a!2,b~Y!3,g~Y).Rec(a!1,b~Y!4,g~pY!5).Syk(a~Y,l~pY,tSH2!5)
s69	: Lig(l!1,l!2).Rec(a!2,b~Y,g~Y).Rec(a!1,b~pY,g~pY!3).Syk(a~Y,l~Y,tSH2!3)
s70	: Lig(l!1,l!2).Lyn(SH2!3,U).Rec(a!2,b~Y,g~Y).Rec(a!1,b~pY!3,g~pY)
s71	: Lig(l!1,l!2).Rec(a!2,b~Y,g~Y).Rec(a!1,b~Y,g~pY!3).Syk(a~Y,l~pY,tSH2!3)
